sku;stock;currency;price;title;manufacturer;msku;ean;egId;lwg1;availability;weight;width;depth;height;externalStock
101054;0;EUR;12.82;koolstoffilter Fellowes voor luchtreiniger CF-300;Fellowes;9372101;43859625482;84212920;Zubehör;K;0.060;0.500;0.350;0.002;0
101056;0;EUR;18.39;HEPA-Filter Fellowes voor mettelgroße luchtreiniger HF-230;Fellowes;9370001;43859625451;84212920;Zubehör;K;0.435;0.350;0.300;0.040;0
101058;0;EUR;21.50;HEPA-Filter Fellowes voor große luchtreiniger HF-300;Fellowes;9370101;43859625468;84212920;Zubehör;K;0.580;0.435;0.360;0.040;0
101065;11;EUR;5.97;USB-Stick 32GB Intenso 2.0 Rainbow line transparant;Intenso;3502480;4034303015245;85235110;USB-Speicher;B;0.021;0.116;0.154;0.018;0
101079;6;EUR;10.86;Intellinet modulearstecker RJ45 Cat5e UTP 100ste Pack;Intellinet;502399;766623502399;85366990;Netzwerkzubehör;B;0.200;0.060;0.115;0.070;0
101081;26;EUR;8.25;Intellinet modulearstecker RJ45 Cat5e UTP 100ste Pack;Intellinet;790055;766623790055;85366990;Netzwerkzubehör;B;2.060;0.060;0.060;0.120;0
101083;13;EUR;12.06;Intellinet modulearstecker RJ45 Cat6  UTP 100ste Pack;Intellinet;502344;766623502344;85366990;Netzwerkzubehör;B;0.165;0.068;0.112;0.063;0
101107;0;EUR;99999.99;USV APC SURT15KRMXLI     SMARTUPS RT 15kVA RM 230V (pallet zending);APC;SURT15KRMXLI;731304255727;85044030;USVs;K;65.000;0.600;0.965;0.990;0
101120;14;EUR;36.78;Intellinet Patchpanel 1HE 24-Port Cat6  FTP zw;Intellinet;720038;766623720038;85366990;Netzwerkzubehör;B;2.150;0.180;0.540;0.055;0
101123;2;EUR;331.01;Intellinet Switch 24x GE Web-Managed SNMP 2xMini Gbic PoE+;Intellinet;560559;766623560559;85044030;Switche;B;3.930;0.314;0.521;0.099;27
101137;0;EUR;19.03;Club3D Adapter MiniDisplayport > DVI-D (Active Single Link) retail;Club 3D;CAC-1152;8717249408826;85444290;Displayport-Adapter;K;0.059;0.065;0.222;0.038;0
101140;0;EUR;99999.99;Toner Kyocera TK-675  KM-2540       zwart  20.000 pagina's;Kyocera;1T02H00EU0;632983010013;84439990;Toner Kyocera;K;2.229;0.250;0.535;0.080;0
101178;0;EUR;99999.99;Lader Gembird Notebook-mobiel-universele-Lader 90 watt;Gembird;EG-MC-007;8716309071109;84735080;Ladegerät;K;0.560;0.152;0.221;0.052;0
101203;9;EUR;17.58;Bluetooth handsfree Gembird Kl.2 BTCC-002;Gembird;BTCC-002;8716309072847;85183095;Bluetooth Headset;B;0.240;0.115;0.175;0.040;0
101217;6;EUR;26.59;Manhattan KVM Switch 2-Port USB inkl. Kabeln zwart;Manhattan;151252;766623151252;84718000;KVM Switches;B;0.678;0.134;0.197;0.099;0
101219;29;EUR;20.94;Manhattan KVM Switch 2-Port USB inkl. Kabeln zwart;Manhattan;151245;766623151245;84718000;KVM Switches;B;0.385;0.115;0.185;0.070;0
101222;4;EUR;52.16;Manhattan KVM Switch 4-Port USB inkl. Kabeln zwart;Manhattan;151269;766623151269;84718000;KVM Switches;B;1.140;0.095;0.215;0.195;0
101223;4;EUR;727.16;"Intellinet KVM Switch 1 HE  8-Port met 17"" LCD-Console";Intellinet;506540;766623506540;84718000;KVM Switches;B;20.600;0.645;0.690;0.170;0
101234;2;EUR;139.26;Intellinet installatiekabel AWG 24 FTP Cat5e 305m     grijs;Intellinet;518130;766623518130;85444210;Cat5 Kabel;B;12.340;0.250;0.400;0.400;0
101237;4;EUR;84.00;Intellinet installatiekabel AWG 24 UTP Cat5e 305m     blauw;Intellinet;327749;766623327749;85444210;Cat5 Kabel;B;8.874;0.205;0.366;0.361;0
101239;2;EUR;42.16;Intellinet installatiekabel AWG 24 U/UTP Cat5e 305m   grijs;Intellinet;362320;7666233623206;85444210;Cat5 Kabel;B;1.560;0.340;0.210;0.360;0
101241;46;EUR;2.30;Intellinet koppeling RJ45 Cat5e 8P8C Bu/Bu FTP        zilver;Intellinet;504768;766623504768;85366990;Netzwerkzubehör;B;0.025;0.060;0.095;0.018;0
101242;4;EUR;16.29;Intellinet Patchpanel 1HE 24-Port Cat5e UTP zw;Intellinet;513555;766623513555;85366990;Netzwerkzubehör;B;0.403;0.100;0.560;0.750;0
101243;5;EUR;30.52;Intellient Patchpanel 2HE 48-Port Cat5e UTP zw;Intellinet;513579;766623513579;85366990;Netzwerkzubehör;B;1.230;0.150;0.550;0.075;0
101245;2;EUR;144.62;installatiekabel Intellinet AWG 23 U/UTP 305m Box    grijs;Intellinet;334136;766623334136;85444210;Cat6 Kabel;B;13.452;0.400;0.400;0.240;0
101247;6;EUR;69.63;Intellinet installatiekabel AWG 23 U/UTP Cat6 305m CCA gr;Intellinet;704663;766623704663;85444210;Cat6 Kabel;B;9.165;0.413;0.401;0.244;0
101248;2;EUR;20.63;Intellinet Patchpanel 1HE 24-Port Cat6  UTP zw;Intellinet;520959;766623520959;85366990;Netzwerkzubehör;B;0.144;0.100;0.560;0.100;0
101249;13;EUR;41.50;Intellinet Patchpanel 2HE 48-Port Cat6  UTP zw;Intellinet;560283;766623560283;85366990;Netzwerkzubehör;B;1.280;0.150;0.560;0.075;0
101251;0;EUR;99999.99;Intellinet Antenne meerwegklep Panel 12dBi 2,4GHz IP65   gr;Intellinet;790338;766623790338;85291069;Netzwerkzubehör;K;0.600;0.215;0.205;0.068;0
101252;0;EUR;99999.99;Intellinet Antenne meerwegklep Panel 18dBi 2,4 Hz IP68;Intellinet;502313;766623502313;85177000;Netzwerkzubehör;K;1.520;0.230;0.410;0.095;0
101255;13;EUR;1.68;"Intellinet Durchgangsbuchse afgeschermd voor 19"" Installationen";Intellinet;512008;7666235120086;85366990;Netzwerkzubehör;B;0.036;0.150;0.080;0.020;0
101256;42;EUR;3.49;Manhattan muispad ergonomisch met Gelfüllung blauw;Manhattan;427203;766623427203;40161000;Mäuse-zubehör;B;0.306;0.230;0.350;0.024;0
101258;6;EUR;31.53;Intellinet media omzetter Fast Ethernet Multimode 2km   zw;Intellinet;506502;766623506502;85176200;Switche;B;0.435;0.060;0.230;0.120;0
101259;10;EUR;31.53;Intellinet media omzetter Fast Ethernet Multimode 2km   zw;Intellinet;506519;766623506519;85176200;Switche;B;0.750;0.050;0.230;0.130;0
101273;127;EUR;1.12;Manhattan USB Kabel A -> micro B St/St  1.80m zw;Manhattan;307178;766623307178;85444290;USB-Kabel;B;0.035;0.116;0.227;0.020;0
101274;41;EUR;0.89;Manhattan USB Kabel A -> micro B St/St  0.50m zw;Manhattan;325677;766623325677;85444290;USB-Kabel;B;0.017;0.124;0.226;0.018;0
101275;105;EUR;1.12;Manhattan USB Kabel A -> mini B St/St  1.80m transparant;Manhattan;333412;766623333412;85444290;USB-Kabel;B;0.035;0.121;0.183;0.020;0
101277;3;EUR;13.23;Manhattan USB-HUB 10-Port USB 2.0 Desktop Hub zwart;Manhattan;161572;766623161572;84718000;HUBs;B;0.242;0.110;0.230;0.070;0
101279;4;EUR;12.93;Manhattan USB-Repeater Kabel USB 2.0 A -> A St/Bu 10.00m Bli;Manhattan;150248;766623150248;85176990;USB-Kabel;B;0.413;0.159;0.206;0.066;0
101280;16;EUR;8.38;Manhattan USB-Repeater Kabel USB 2.0 A -> A St/Bu 5.00m  si;Manhattan;519779;766623519779;85176990;USB-Kabel;B;0.039;0.130;0.200;0.065;0
